Team,Championships,State
Boston Celtics,17,MA
Chicago Bulls,6,IL
Cleveland Cavaliers,1,OH
Dallas Mavericks,1,TX
Detroit Pistons,3,MI
Golden State Warriors,4,CA
Houston Rockets,2,TX
Los Angeles Lakers,11,CA
Miami Heat,3,FL
Milwaukee Bucks,1,WI
Minneapolis Lakers,4,MN
New York Knicks,2,NY
Philadelphia 76ers,2,PA
Philadelphia Warriors,1,PA
Portland Trail Blazers,1,OR
Rochester Royals,1,NY
San Antonio Spurs,5,TX
Seattle SuperSonics,1,WA
St. Louis Hawks,1,MO
Syracuse Nationals,1,NY
Washington Bullets,1,DC
